job name,job budget,job url
Online graphics editor creation by Full stack web developer,24000,https://www.upwork.com/job/Online-graphics-editor-creation-Full-stack-web-developer_~011d4ca1b341e307eb/
UX/ UI Developer,20000,https://www.upwork.com/job/Developer_~01a2066d8a9dbbd572/
Full stack web developer for online graphics editor,25000,https://www.upwork.com/job/Full-stack-web-developer-for-online-graphics-editor_~0164d2763aed717727/
development of a gaming keyboard and a gaming mouse in .Net,10000,https://www.upwork.com/job/development-gaming-keyboard-and-gaming-mouse-Net_~011cbd28a2b96b29a2/
UI/UX expert and Magento expert needed for Fashion eCommerce website,5000,https://www.upwork.com/job/expert-and-Magento-expert-needed-for-Fashion-eCommerce-website_~0132fbe4861fe6626a/
Unity c# multiplayer game developer needed,5000,https://www.upwork.com/job/Unity-multiplayer-game-developer-needed_~01c230c1fe41c705d0/
CRM & APP development for 2 companies,30000,https://www.upwork.com/job/CRM-amp-APP-development-for-companies_~014b6cd6ebd64e719f/
Full Stack Javascript Developer Needed for React Node.js Firebase,10000,https://www.upwork.com/job/Full-Stack-Javascript-Developer-Needed-for-React-Node-Firebase_~01edf67b5d8851b5ab/
Data Scientist,14000,https://www.upwork.com/job/Data-Scientist_~01fe88f1dd4e85ef7a/
Code Igniter & WordPress Guru needed immediately until end of 2020,12000,https://www.upwork.com/job/Code-Igniter-amp-WordPress-Guru-needed-immediately-until-end-2020_~016bbb1f4220963b25/
Augmented Reality platform design and development,5000,https://www.upwork.com/job/Augmented-Reality-platform-design-and-development_~01de1c34d73faa60cc/
Developer needed for creating social app.,6000,https://www.upwork.com/job/Developer-needed-for-creating-social-app_~0118f8e20a85fd03bd/
Full-Time Full Stack Developer needed in 2020,36000,https://www.upwork.com/job/Full-Time-Full-Stack-Developer-needed-2020_~01891a16a5419f071a/
Web designer/developer team needed to create a responsive multi-vendor e-commerce site.,5000,https://www.upwork.com/job/Web-designer-developer-team-needed-create-responsive-multi-vendor-commerce-site_~013553035581a7af4b/
Full stack developer needed to join dynamic team,30000,https://www.upwork.com/job/Full-stack-developer-needed-join-dynamic-team_~019260b5e293e6af1f/
New Website and App Development - CrowdFunding like Kickstarter,5000,https://www.upwork.com/job/New-Website-and-App-Development-CrowdFunding-like-Kickstarter_~018769cd425d917e40/
Mobile App for delivery,5000,https://www.upwork.com/job/Mobile-App-for-delivery_~016b28b768f194539a/
Developer / DevOps for existing Linux Data Wipe App. C++ Digital Forensics Firmware UX/UI,5000,https://www.upwork.com/job/Developer-DevOps-for-existing-Linux-Data-Wipe-App-Digital-Forensics-Firmware_~01b5f8c93602de95a0/
Developer needed create/design an online marketplace/project management platform(preferably Flutter),8000,https://www.upwork.com/job/Developer-needed-create-design-online-marketplace-project-management-platform-preferably-Flutter_~018a9bb0ad78308d06/
UI/UX and back-end developer needed for mobile application,10000,https://www.upwork.com/job/and-back-end-developer-needed-for-mobile-application_~01279b407102b50cac/
Developer needed to redesign website front end and back end.,5000,https://www.upwork.com/job/Developer-needed-redesign-website-front-end-and-back-end_~01947378954d7d0d3f/
ReactJS Web App building (ReactJS GraphQL MongoDB GCP) designing and admin include.,5000,https://www.upwork.com/job/ReactJS-Web-App-building-ReactJS-GraphQL-MongoDB-GCP-designing-and-admin-include_~018e5ac52ff087f12f/
UI Design Lead,7000,https://www.upwork.com/job/Design-Lead_~014904de195c1398e1/
Developer needed to program a mobile app Start-Up,8000,https://www.upwork.com/job/Developer-needed-program-mobile-app-Start_~011b1df4c5fff78763/
Mobile App Developer needed for IOS app,6000,https://www.upwork.com/job/Mobile-App-Developer-needed-for-IOS-app_~013dc9fb480dced810/
Data-Driven E-commerce Website with Unique UI/UX,10000,https://www.upwork.com/job/Data-Driven-commerce-Website-with-Unique_~013813654fe55bb345/
Chief Technology Officer for cannabis social media startup,100000,https://www.upwork.com/job/Chief-Technology-Officer-for-cannabis-social-media-startup_~019d34a7c1e64059e5/
Developer needed to build PC game prototype,5500,https://www.upwork.com/job/Developer-needed-build-game-prototype_~01f44d1c990ee08c81/
flutter developer needed for a voice chat app,5000,https://www.upwork.com/job/flutter-developer-needed-for-voice-chat-app_~014604526c1a9d6ab4/
Android App Developer wanted for creating lottery ticket number tracking and notification app.,5000,https://www.upwork.com/job/Android-App-Developer-wanted-for-creating-lottery-ticket-number-tracking-and-notification-app_~01b9ad3ea8ce19bb23/
Unity Game Developer needed to build an educational based MCQs browser Game,5000,https://www.upwork.com/job/Unity-Game-Developer-needed-build-educational-based-MCQs-browser-Game_~0185b0b62bd4308d44/
Website accessibility expert needed for site WCAG 2.0 audit and report,10000,https://www.upwork.com/job/Website-accessibility-expert-needed-for-site-WCAG-audit-and-report_~01d53e8fc2fb8a92e7/
Developer needed for creating a UWP app for Xbox One.,5000,https://www.upwork.com/job/Developer-needed-for-creating-UWP-app-for-Xbox-One_~0141eceb4d683b067a/
Create Website Utilizing Existing Platform,25000,https://www.upwork.com/job/Create-Website-Utilizing-Existing-Platform_~01318e7c10403bb1d0/
Product Development Team,100000,https://www.upwork.com/job/Product-Development-Team_~015c95c6a8d1ae299a/
Webapp that controls hardware,15000,https://www.upwork.com/job/Webapp-that-controls-hardware_~013df200001ef14213/
Mobile Design,50000,https://www.upwork.com/job/Mobile-Design_~01edb97a4f4d2e82e4/
Java - Android Developer to build upon an existing Gaming App (Only Freelancers),8000,https://www.upwork.com/job/Java-Android-Developer-build-upon-existing-Gaming-App-Only-Freelancers_~014474a1c84b1f39d3/
We are looking for a UI/UX/Developer to build a website that feels like an experience!,5000,https://www.upwork.com/job/are-looking-for-Developer-build-website-that-feels-like-experience_~01775634bb8eec9665/
Mobile Apps (iOS Android) with Web Backend,10000,https://www.upwork.com/job/Mobile-Apps-iOS-Android-with-Web-Backend_~0152ac19b8715d0726/
Agency needed to manage & develop social events app.,35000,https://www.upwork.com/job/Agency-needed-manage-amp-develop-social-events-app_~01d8c0677e2f149d14/
Front-end and Back-end website development,15000,https://www.upwork.com/job/Front-end-and-Back-end-website-development_~01bc9ff381adb8e8f3/
Web Application Developer for Pediatric Patients,10000,https://www.upwork.com/job/Web-Application-Developer-for-Pediatric-Patients_~0165c03b9ae1ca14b9/
Developer Needed for Music Player E-Commerce EBay Music IOS/Android Web and Mobile Application,15000,https://www.upwork.com/job/Developer-Needed-for-Music-Player-Commerce-EBay-Music-IOS-Android-Web-and-Mobile-Application_~01ccda50a4b47dc74f/
Developer needed for mobile game includes AR technology,25000,https://www.upwork.com/job/Developer-needed-for-mobile-game-includes-technology_~01e2e20832e42efa7c/
Mobile  shopping app,6999,https://www.upwork.com/job/Mobile-shopping-app_~017df167df28155e7e/
Shopping Android.ios  App,7000,https://www.upwork.com/job/Shopping-Android-ios-App_~013d82ee7aab92b576/
iOS app developer needed to create a Transgender Voice Training App,10000,https://www.upwork.com/job/iOS-app-developer-needed-create-Transgender-Voice-Training-App_~01044ad2d811889150/
iOS and Andriod Developer,5000,https://www.upwork.com/job/iOS-and-Andriod-Developer_~013bed6e9ba83ef923/
UI/UX Designer needed to design Web and Mobile,5000,https://www.upwork.com/job/Designer-needed-design-Web-and-Mobile_~017c93fd3ccdaf7173/
Senior Mobile App Developer for iOS and Android,10000,https://www.upwork.com/job/Senior-Mobile-App-Developer-for-iOS-and-Android_~012a0ff437510ed499/
iOS Developer for UI+ of Android App 90% Developed,5000,https://www.upwork.com/job/iOS-Developer-for-Android-App-Developed_~0119828d4263cce1ce/
Senior App/Game Architect/Project Manager,15000,https://www.upwork.com/job/Senior-App-Game-Architect-Project-Manager_~01cba85f9074acd429/
Sr. Frontend Developer (Web) needed,8000,https://www.upwork.com/job/Frontend-Developer-Web-needed_~01f7072f70b3d24fa1/
